address,price,options,price_m2
"Quadra 101, NORTE, AGUAS CLARAS",1.452.654,"['Venda Apartamento 164 m²', '4 Quartos', '4 Suítes', '3 Vagas']",8.846
"SQNW 306 Bloco F Noroeste, Brasilia",A partir de 2.540.594,"[' Apartamento 192 a 423 m²', '4 quartos', 'Em Construção', '2 plantas']",
"SMPW Quadra 21 Conjunto 3, PARK WAY, BRASILIA",6.400.000,['Venda Lote/Terreno 30000 m²'],213
"SMPW Quadra 16, PARK WAY, BRASILIA",6.990.000,"['Venda Casa 1520 m²', '7 Quartos', '7 Suítes', '8 Vagas']",4.598
"SMPW Quadra 5 Conjunto 5, PARK WAY, BRASILIA",2.700.000,['Venda Lote/Terreno 1000 m²'],2.700
"QE 38 Conjunto F1 Guara Ii, Guara",A partir de 372.329,"[' Apartamento 51 a 52 m²', '2 quartos', 'Pronto Para Morar', '2 plantas']",
"SQS 106 Bloco A, ASA SUL, BRASILIA",895.000,"['Venda Apartamento 100 m²', '2 Quartos']",8.950
"SMDB Conjunto 14, LAGO SUL, BRASILIA",4.500.000,"['Venda Casa 550 m²', '4 Quartos', '4 Suítes', '4 Vagas']",8.181
"SQNW 306 Bloco H, NOROESTE, BRASILIA",2.768.000,"['Venda Apartamento 215 m²', '4 Quartos', '4 Suítes', '5 Vagas']",12.853
"Quadra 3 Setor Central, Gama",A partir de 170.984,"[' Apartamento 39 a 54 m²', '1 a 2 quartos', 'Lançamento', '6 plantas']",
"SQNW 303 Bloco K, NOROESTE, BRASILIA",2.727.246,"['Venda Apartamento 196 m²', '4 Quartos', '4 Suítes', '4 Vagas']",13.913
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",1.554.041,"['Venda Apartamento 162 m²', '4 Quartos', '4 Suítes', '3 Vagas']",9.535
"SCES Trecho 4, ASA SUL, BRASILIA",628.504,"['Venda Apartamento 48 m²', '1 Quarto', '1 Suíte', '1 Vaga']",12.977
"SQN 215 Bloco D Asa Norte, Brasilia",Sob Consulta,"[' Apartamento 160 a 387 m²', '4 quartos', '3 plantas']",
"Rua 30, NORTE, AGUAS CLARAS",232.000,"['Venda Apartamento 31 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.483
"Rua 30, NORTE, AGUAS CLARAS",232.000,"['Venda Apartamento 31 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.483
"SCRN 704/705 Bloco D, ASA NORTE, BRASILIA",435.000,"['Venda Apartamento 67 m²', '2 Quartos']",6.492
"SQNW 302 Bloco D Noroeste, Brasilia",A partir de 974.240,"[' Apartamento 72 m²', '2 quartos', 'Em Construção', '3 plantas']",
"SMPW Quadra 24 Conjunto 4, PARK WAY, BRASILIA",4.370.000,"['Venda Casa 650 m²', '4 Quartos', '4 Suítes', '9 Vagas']",6.723
